GvaID;Beg;End;Title;L;J;D;Sign;Force;Term;Grounds
GVA-001661;1973-03-06;1973-12-31;Agreement Between The Government Of The Union Of Soviet Socialist Republics, Iceland And Norway Concerning The Regulation Of Fishing Of The Atlanto-Scandian Herring;M;A;A;1973-03-06;1973-03-06;1973-12-31;Article V This Agreement shall enter into force on the day when it has been signed by all three Parties and shall remain in force until December 31, 1973
GVA-001863;1975-02-26;1975-12-30;Agreement Between The Government Of The United States Of America And The Government Of The Union Of Soviet Socialist Republics On Certain Fishery Problems On The High Seas In The Western Areas Of The Middle Atlantic Ocean;B;Z;A;1975-02-26;1975-02-26;1975-12-30;Extended 1975-12-30
GVA-001965;1975-12-30;1976-03-01;Agreement Effected By Exchange Of Notes Extending The Agreement Between The Government Of The United States Of America And The Government Of The Union Of Soviet Socialist Republics On Certain Fishery Problems On The High Seas In The Western Areas Of The Middle Atlantic Ocean;B;Z;A;1975-12-30;1975-12-30;1976-03-01;Superseded
GVA-002314;1977-06-24;1978-12-31;Reciprocal Fisheries Agreement Between The Government Of The United States Of America And The Government Of The United Kingdom Of Great Britain And Northern Ireland, Relating To Traditional Fishing Activities In The Virgin Islands;B;Z;A;1977-06-24;1977-06-24;1978-12-31;Limited duration agreement
GVA-004276;1996-02-12;NA;Treaty Between His Majesty's Government Of Nepal And The Government Of India Concerning The Integrated Development Of The Mahakali River Including Sarada Barrage, Tanakpur Barrage, And Pancheshwar Project;B;Z;A;1996-02-12;1997-06-05;NA;
GVA-004286;1996-02-26;NA;Protocol Setting Out Fishing Opportunities And The Financial Compensation And Financial Contributions;H;Z;P;1996-02-26;1996-12-13;NA;
GVA-004450;1996-12-12;NA;Treaty Between India And The Bangladesh On Sharing Of The Ganges Waters At Farakka;B;Z;A;1996-12-12;1996-12-12;NA;
GVA-004691;1997-12-15;NA;Agreement Between The Government Of The Russian Federation And The Government Of The Republic Of Turkey On Delivery Of The Russian Natural Gas To The Republic Of Turkey Through The Defined Area Of Water Of The Black Sea (1997);B;Z;A;1997-12-15;1998-05-14;NA;
GVA-005675;2001-08-01;2001-12-31;Agreement In The Form Of Exchange Of Letters Concerning The Extension Of The Protocol Establishing The Fishing Opportunities And Financial Compensation Provided For In The Agreement Between The European Economic Community And The Government Of The Republic Of Senegal On Fishing Off The Coast Of Senegal For The Period From 1 August 2001 To 31 December 2001;B;Z;P;2001-08-01;2001-08-01;2001-12-31;Superseded
GVA-005676;2001-05-01;2001-07-31;Agreement In The Form Of Exchange Of Letters Concerning The Extension Of The Protocol Establishing The Fishing Opportunities And Financial Compensation Provided For In The Agreement Between The European Economic Community And The Government Of The Republic Of Senegal On Fishing Off The Coast Of Senegal For The Period From 1 May 2001 To 31 July 2001;B;Z;P;2001-05-01;2001-05-01;2001-07-31;Superseded
GVA-005735;2002-05-03;2002-08-02;Agreement In The Form Of An Exchange Of Letters On The Extension Of The Protocol Setting Out The Fishing Rights And The Financial Contribution Provided For In The Agreement Between The European Economic Community And The Government Of The Republic Of Angola On Fishing Off Angola For The Period From 3 May 2002 To 2 August 2002;B;Z;P;2002-05-03;2002-08-02;2002-08-02;Limited duration agreement
GVA-005784;2003-04-10;NA;Agreement Between The Russian Federation And Turkmenistan On Cooperation In The Gas Sector;B;Z;A;2003-04-10;2003-04-10;NA;
GVA-006150;2005-10-25;NA;Treaty Establishing The Energy Community;M;R;A;2005-10-25;2006-07-01;NA;Extended for ten years in 2013
GVA-006737;1911-02-07;NA;Treaty Between The United States Of America And Great Britain Providing For The Preservation And Protection Of Fur Seals;B;Z;A;1911-02-07;1911-12-15;NA;
GVA-006928;2013-12-18;NA;Protocol Setting Out The Fishing Opportunities And The Financial Contribution Provided For By The Fisheries Partnership Agreement Between The European Union And The Republic Of Seychelles;B;Z;P;2013-12-18;2014-06-25;NA;
