"manyID","Title","Begin","End","Signature","Force","AgreementType","DocType","GeogArea","gengID","ieaID","ecolexID","treatyID","Parties","verified","DocValidUntilDate","url","Notes","Download","MEA_type","Ambit","Region","subject_ecolex","subject_iea","Keywords","Lineage","Sequence","AdoptedIn","Languages","Appendices","Depository","DepositoryURL","Published","Abstract","Website1","Website2","Secretariat","SecretariatURL","UNEP","Supersedes","References","EnabledBy","AmendedBy","Lit","Data","Coded","Source","Checked_HUGGO","Confirmed_HUGGO","Changes","Modified"
"CC05WF_1983A","Agreement For Cooperation And Consultation Between The Central African States For The Conservation Of Wild Fauna","1983-04-16",NA,"1983-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iea.uoregon.edu/treaty/2955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, url","Added Title, Beg, Signature, url",1
"CA06WF_1983A","Agreement Between The Central African States Concerning The Creation Of A Special Fund For The Conservation Of Wild Fauna","1983-04-16",NA,"1983-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iea.uoregon.edu/treaty/2956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, url","Added manyID, Title, Beg, Signature, url",1
"AUT-HUN[PRE]_1984A","Agreement Between Austria And Hungary On Cooperation In The Protection Of The Environment","1984-06-07","9999-12-31","1984-06-07","1985-11-08",NA,NA,NA,NA,NA,NA,NA,"AUT-HUN",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC006941/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"AUS-CHN[MBE]_1986A","Agreement Between The Government Of Australia And The Government Of The Peoples Republic Of China For The Protection Of Migratory Birds And Their Environment","1986-10-20","9999-12-31","1986-10-20","1988-09-01",NA,NA,NA,NA,NA,NA,NA,"AUS-CHN",NA,NA,"http://www.austlii.edu.au/au/other/dfat/treaties/1988/22.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, End, Signature, Force, Parties, url","Added manyID, Title, Beg, End, Signature, Force, Parties, url",1
"ARG-URY[HHS]_1987A","Cooperation Agreement Between the Argentine Republic and the Eastern Republic of Uruguay to Prevent and Fight Against Incidents of Pollution of the Aquatic Environment Produced by Hydrocarbons and Other Harmful Substances","1987-09-16","9999-12-31","1987-09-16","1993-10-29",NA,NA,NA,NA,NA,NA,NA,"ARG-URY",NA,NA,"https://www.fao.org/faolex/results/details/es/c/LEX-FAOC043350/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"FRA-HUN[ANH]_1987A","Agreement Between France And Hungary On Cooperation In The Field Of Animal Health","1987-10-24",NA,"1987-10-24",NA,NA,NA,NA,NA,NA,NA,NA,"FRA-HUN",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC007685/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1
"HUN-KOR[QPD]_1987A","Agreement On Cooperation In The Field Of Plant Protection And Plant Quarantine Between Hungary And The Popular Democratic Republic Of Korea","1987-12-10",NA,"1987-12-10",NA,NA,NA,NA,NA,NA,NA,NA,"HUN-KOR",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC007688/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1
"CE04FU_1987A","Agreement Establishing The Economic Community Of Cattle Meat And Fishing Resources In UDEAC","1987-12-18",NA,"1987-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC007162/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, url","Added manyID, Title, Beg, Signature, url",1
"CAN-USA[RFC]_1988A","Red River Flood Control Agreement Between The United States Of America And Canada","1988-08-30","9999-12-31","1988-08-30","1988-08-30",NA,NA,NA,NA,NA,NA,NA,"CAN-USA",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC010932/ | https://books.google.ch/books?id=US1ArbwHpfoC&pg=PP1&hl=es&source=gbs_selected_pages&cad=2#v=onepage&q&f=false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"CSCBNS_1992A","Agreement On The Conservation Of Small Cetaceans Of The Baltic And North Seas","1992-03-17","9999-12-31","1992-03-17","1994-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/En/TRE-001139.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, End, Signature, Force, url","Added manyID, Title, Beg, End, Signature, Force, url",1
"UKR-USA[ENU]_1992A","Environmental Cooperation Agreement Between The United States Of America And Ukraine Of 1992","1992-05-07","9999-12-31","1992-05-07","1992-05-07",NA,NA,NA,NA,NA,NA,NA,"UKR-USA",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC010349/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"DEU-RUS[GEP]_1992A","Agreement Between The Government Of The Russian Federation And The Government Of The Federal Republic Of Germany About Cooperation In The Field Of Environmental Protection","1992-05-28",NA,"1992-05-28","1992-05-28",NA,NA,NA,NA,NA,NA,NA,"DEU-RUS",NA,NA,"https://www.bgbl.de/xaver/bgbl/start.xav?start=%2F%2F*%5B%40attr_id%3D%27bgbl292s1240b.pdf%27%5D#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl292s1240b.pdf%27%5D__1677042145229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"DEU-RUS[GEP]_1992A","Agreement Between The Ministry Of Ecology And Natural Resources Of The Russian Federation And The Federal Ministry Of Environment Conservation And Safety Of Nuclear Reactors Of The Republic Of Germany About Assistance To Development Of The Economic Cooperation Directed On The Solution Of Problems In The Field Of Environmental Protection (about Creation Of Ecological Bureau)","1992-05-28",NA,"1992-05-28","1992-05-28",NA,NA,NA,NA,NA,NA,NA,"DEU-RUS",NA,NA,"https://www.bgbl.de/xaver/bgbl/start.xav?start=%2F%2F*%5B%40attr_id%3D%27bgbl292s1240b.pdf%27%5D#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl292s1240b.pdf%27%5D__1677042145229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"BRA-URY[ENV]_1992A","Agreement Between the Eastern Republic of Uruguay and the Federative Republic of Brazil on Cooperation in Environmental Matters","1992-12-28",NA,"1992-12-28","1997-05-25",NA,NA,NA,NA,NA,NA,NA,"BRA-URY",NA,NA,"https://www.planalto.gov.br/ccivil_03/decreto/1997/d2241.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"HRV-HUN[VTS]_1993A","Agreement Between The Government Of Republic Of Croatia And The Government Of The Republic Of Hungary On Veterinary And Sanitary Cooperation","1993-02-17",NA,"1993-02-17","1993-12-20",NA,NA,NA,NA,NA,NA,NA,"HRV-HUN",NA,NA,"https://www.ecolex.org/details/treaty/agreement-on-veterinary-cooperation-between-the-government-of-the-republic-of-croatia-and-the-government-of-the-republic-of-hungary-tre-152742/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"RUS-UKR[GSR]_1993A","Agreement Between The Government Of The Russian Federation And The Government Of Ukraine On Cooperation In The Development Of Oil And Gas Sector Of Russia","1993-06-24",NA,"1993-06-24","1993-06-24",NA,NA,NA,NA,NA,NA,NA,"RUS-UKR",NA,NA,"https://www.ecolex.org/details/treaty/agreement-between-the-government-of-the-russian-federation-and-the-government-of-ukraine-on-cooperation-in-the-development-of-oil-and-gas-sector-of-russia-tre-150648/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"BLR-RUS[REP]_1994A","Agreement Between The Government Of Belarus And The Government Of Russia On Cooperation In The Field Of Environmental Protection","1994-07-05",NA,"1994-07-05","1994-07-05",NA,NA,NA,NA,NA,NA,NA,"BLR-RUS",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC064767/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"BLR-UKR[UEP]_1994A","Agreement Between The Government Of Belarus And The Government Of Ukraine On Cooperation In The Field Of Environmental Protection","1994-12-16",NA,"1994-12-16","1994-12-16",NA,NA,NA,NA,NA,NA,NA,"BLR-UKR",NA,NA,"https://www.fao.org/faolex/results/details/fr/c/LEX-FAOC063060/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"BLR-HUN[AFI]_1995A","Agreement Between The Government Of Belarus And The Government Of Hungary On Economic Scientific And Technical Cooperation In The Field Of Agriculture And Food Industry","1995-03-01",NA,"1995-03-01","1995-03-01",NA,NA,NA,NA,NA,NA,NA,"BLR-HUN",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC005429/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"CHN-RUS[PRF]_1995A","Agreement Of Joint Control Of Forest Fires Between The Government Of The Peoples Republic Of China And The Government Of Russian Federation","1995-06-26",NA,"1995-06-26","1995-06-26",NA,NA,NA,NA,NA,NA,NA,"CHN-RUS",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC030405/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"KAZ-TUR[AHA]_1995A","Convention Between The Republic Of Turkey And The Republic Of Kazakhstan Concerning The Cooperation Within Animal Health Area","1995-08-15",NA,"1995-08-15","1997-06-03",NA,NA,NA,NA,NA,NA,NA,"KAZ-TUR",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC023842/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1
"CYP-GRC[HEP]_1995A","Agreement Between The Government Of The Hellenic Republic And The Government Of The Republic Of Cyprus For Cooperation On Environmental Protection","1995-12-11",NA,"1995-12-11",NA,NA,NA,NA,NA,NA,NA,NA,"CYP-GRC",NA,NA,"ecolex.org/details/treaty/agreement-between-the-government-of-the-hellenic-republic-and-the-government-of-the-republic-of-cyprus-for-cooperation-on-environmental-protection-tre-152190/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1
"ISR-KAZ[ENP]_1995A","Agreement Between The Government Of Kazakhstan And The Government Of Israel On Cooperation In The Sphere Of Environmental Protection","1995-12-27",NA,"1995-12-27",NA,NA,NA,NA,NA,NA,NA,NA,"ISR-KAZ",NA,NA,"https://www.fao.org/faolex/results/details/fr/c/LEX-FAOC066602/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1
"BGR-BLR[QPT]_1996A","Convention Between The Government Of Belarus And The Government Of Bulgaria On Cooperation In The Field Of Quarantine And Protection Of Plants","1996-02-21",NA,"1996-02-21",NA,NA,NA,NA,NA,NA,NA,NA,"BGR-BLR",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC065436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1
"BGR-BLR[VTS]_1996A","Veterinary And Sanitary Convention Between The Government Of Belarus And The Government Of Bulgaria","1996-02-21",NA,"1996-02-21",NA,NA,NA,NA,NA,NA,NA,NA,"BGR-BLR",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC065435/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1
"ARG-PAN[HVQ]_1996A","Agreement For Cooperation And Coordination On The Matter Of Health And Vegetable Quarantines Between Argentina And Panama","1996-05-10","9999-12-31","1996-05-10","1998-06-22",NA,NA,NA,NA,NA,NA,NA,"ARG-PAN",NA,NA,"https://www.fao.org/faolex/results/details/en/c/LEX-FAOC024748/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, End, Signature, Force, Parties, url","Added manyID, Title, Beg, End, Signature, Force, Parties, url",1
