"","manyID","treatyID","Title","Beg","End","Signature","Force","DocType","AgreementType","GeogArea","gnevarID","verified","gengID","ecolexID","ieaID","DocValidUntilDate","Notes","Download","MEA_type","Ambit","Region","subject_ecolex","subject_iea","Keywords","Lineage","Sequence","AdoptedIn","Languages","Appendices","Depository","DepositoryURL","Published","Abstract","Website1","Website2","Secretariat","SecretariatURL","UNEP","Supersedes","References","EnabledBy","AmendedBy","Lit","Data","Coded"
"1","ESP-GBR[ENC]_1351A","ESP-GBR[ENC]_1351A","Treaty Between England And Castile","1351-08-01","1371-07-31","1351-08-01","1351-08-01","B","A","L","GENG-0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GBR-PRT[ENG]_1353A","GBR-PRT[ENG]_1353A","Treaty Between England And Portugal","1353-10-20","1403-10-19","1353-10-20","1353-10-20","B","A","L","GENG-0002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","FRA-GBR[ENG]_1403A","FRA-GBR[ENG]_1403A","Treaty Between England And France","1403-06-27",NA,"1403-06-27",NA,"B","A","L","GENG-0003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TRTYEB_1407A","TRTYEB_1407A","Treaty Between England And Burgandy","1407-03-10",NA,"1407-03-10","1407-03-10","B","A","L","GENG-0004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","GBR-SWE[CGB]_1656A","GBR-SWE[CGB]_1656A","Treaty Of Commerce Between Great Britain And Sweden","1656-07-17",NA,"1656-07-17","1656-11-14","B","A","L","GENG-0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ESP-FRA[BDS]_1683A","ESP-FRA[BDS]_1683A","Treaty Between France And Spain Concerning The River Bidassoa","1683-10-19",NA,"1683-10-19",NA,"B","A","L","GENG-0006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FRA-GBR[ARA]_1713A","FRA-GBR[ARA]_1713A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1713-04-11",NA,"1713-04-11","1713-05-09","B","A","L","GENG-0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NOR-SWE[NSL]_1751A","NOR-SWE[NSL]_1751A","Norwegian-Swedish Agreement Regarding Laplanders","1751-10-02",NA,"1751-10-02",NA,"B","A","L","GENG-0008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","FRA-GBR[ARA]_1763A","FRA-GBR[ARA]_1763A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1763-02-10",NA,"1763-02-10","1763-03-10","B","A","L","GENG-0009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FRA-GBR[ARA]_1783A","FRA-GBR[ARA]_1783A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1783-10-03",NA,"1783-10-03",NA,"B","A","L","GENG-0010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
