manyID;Title;Beg;End;Signature;Force;AgreementType;DocType;GeogArea;gengID;ieaID;ecolexID;treatyID;Parties;verified;DocValidUntilDate;url;Notes;Download;MEA_type;Ambit;Region;subject_ecolex;subject_iea;Keywords;Lineage;Sequence;AdoptedIn;Languages;Appendices;Depository;DepositoryURL;Published;Abstract;Website1;Website2;Secretariat;SecretariatURL;UNEP;Supersedes;References;EnabledBy;AmendedBy;Lit;Data;Coded;Source;Checked_HUGGO;Confirmed_HUGGO;Changes;Modified
NVGTNR_1868A;Revised Convention On The Navigation Of The Rhine;1868-10-17;#N/D;1868-10-17;1869-07-01;A;M;R;GENG-0046;#N/D;TRE-000561;NVGTNR_1868A;#N/D;#N/D;#N/D;http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-000561.pdf;#N/D;No;#N/D;Regional/restricted;Europe;WATER;#N/D;authorization/permit  |  basin  |  court/tribunal  |  estuaries  |  harbour  |  inspection  |  intellectual property rights/patents  |  jurisdictional competence  |  navigation  |  river basin institution  |  transport/storage;#N/D;#N/D;Mannheim;German | French | Dutch;#N/D;#N/D;#N/D;PrGS. 1869, p. 798, 836 UK Misc. No. 18 (1964) Cmnd.2421 $(en,fr);#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;19631120|19721025|19791017;FALSE;FALSE;FALSE;NULL;1;Title, Beg, End, Signature, Force, url;Updated url;1
BAD-CHE[LCT]_1884P;Protocol To The Additional Convention Between Switzerland Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries;1884-09-21;#N/D;1884-09-21;#N/D;P;M;#N/D;GENG-0078;IEA-4518;#N/D;BAD-CHE[LCT]_1884P;#N/D;#N/D;#N/D;https://iea.uoregon.edu/treaty-text/4518;#N/D;No;MEA (Protocol);#N/D;#N/D;#N/D;FISHS and WATER;#N/D;Rhine - Lake Constance Fishing;401;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;Internationale Gewasserschutz-Kommission fur den Bodensee;http://www.igkb.de;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;NULL;1;Beg, End, Signature, Force, url, MainText, AppendixText, AnnexText;New url. New MainText translated to English from German using Google Translate.;1
TRSFRR_1885A;Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin;1885-06-30;#N/D;1885-06-30;1886-06-06;A;M;R;GENG-0084;IEA-2588;TRE-000072;TRSFRR_1885A;#N/D;not verified;#N/D;https://www.fedlex.admin.ch/eli/cc/9/99_97_99/fr;No repository found, not clear whether still in force;No;MEA (Agreement);Regional/restricted;Europe;FISHS;FISHS and WATER;#N/D;Rhine - Lake Constance Fishing;500;Berlin;German | Dutch;#N/D;#N/D;#N/D;RGBL. 1886 p.192;#N/D;#N/D;#N/D;Secretariat not yet identified;No Secretariat Exists;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;    Source:     http://www.admin.ch/ch/f/rs/i9/0.923.414.fr.pdf  ;1;Title, Beg, End, Signature, Force, url, MainText;Corrected Force. Added url, MainText;1
RS11NR_1900A34;Convention Between The Riverine States Of The Rhine Respecting Regulations Governing The Transport Of Corrosive And Poisonous Substances (Amendments To Annex B Of Protocol 34 Of 1868 Revised Convention On The Navigation Of The Rhine);1900-05-11;#N/D;1900-05-11;1900-07-01;E;M;#N/D;GENG-0129;IEA-2593;#N/D;RS11NR_1900A34;#N/D;#N/D;#N/D;https://iea.uoregon.edu/treaty/2593;#N/D;No;MEA (Agreement);#N/D;#N/D;#N/D;WATER;#N/D;Rhine Pollution;10004;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;Central Commission for Navigation on the Rhine;http://ccr-zkr.org/;#N/D;#N/D;#N/D;#N/D;#N/D;TRUE;TRUE;#N/D;    Source:     Parry, The Consolidated Treaty Series, vol. 188, pp. 398.  ;1;Title, Beg, Signature, Force, url;Added url;1
LR05TR_1909A;Convention Laying Down Regulations For The Carriage Of Petroleum And Petroleum Products In Tankers On The Rhine;1909-05-21;#N/D;1909-05-21;1910-03-17;A;M;#N/D;GENG-0175;#N/D;#N/D;LR05TR_1909A;#N/D;#N/D;#N/D;https://iea.uoregon.edu/treaty/4668;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;    Source:     https://books.google.com/books?id=jzn7nrno_EcC&amp%3Bpg=PA280&amp%3Blpg=PA280&am…  ;1;Title, Beg, Signature, Force, url;Added url;1
DEU-DNK[BGF]_1922A;Agreement Between Denmark And Germany For The Settlement Of Questions Relating To Watercourses And Dikes On The German-Danish Frontier;1922-04-10;1960-03-01;1922-04-10;1922-06-07;A;B;L;GENG-0211;#N/D;#N/D;DEU-DNK[GDF]_1922A;DEU-DNK;#N/D;#N/D;https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;NULL;1;Title, Beg, End, Signature, Force, url, MainText, AppendixText, AnnexText;Added url, MainText, AnnexText.;1
DEU-DNK[GDF]_1922A;Agreement Between Denmark And Germany Regarding Common Fishery Rights In The Flensburg Fjord;1922-04-10;1960-03-01;1922-04-10;1922-06-07;A;B;L;GENG-0212;#N/D;#N/D;DEU-DNK[RFF]_1922A;DEU-DNK;#N/D;#N/D;https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;NULL;1;Title, Beg, End, Signature, Force, url, MainText, AppendixText, AnnexText;Added url, MainText.;1
DEU-DNK[BGF]_1922A;Agreement Between Denmark And Germany Regarding Fisheries And Reed Cutting In The Rudebol Lake And The Videa River And Regarding The Cutting Of Hay And Bulrushes In The Gotteskoog Together With Final Protocol;1922-04-10;1960-03-01;1922-04-10;1922-06-07;P;B;L;GENG-0213;#N/D;#N/D;DEU-DNK[BGF]_1922A;DEU-DNK;#N/D;#N/D;https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;NULL;1;Title, Beg, End, Signature, Force, url, MainText, AppendixText, AnnexText;Added url, MainText.;1
DEU-DNK[BGF]_1922A;Agreement Between Denmark And Germany Regarding Fisheries On The Breitgrund With Final Protocol;1922-04-10;1960-03-01;1922-04-10;1922-06-07;P;B;L;GENG-0214;#N/D;#N/D;DEU-DNK[FBF]_1922A;DEU-DNK;#N/D;#N/D;https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;NULL;1;Title, Beg, End, Signature, Force, url, MainText, AppendixText, AnnexText;Added url, MainText.;1
FIN-RUS[SFG]_1922A;Convention Between The Republic Of Finland And The Russian Socialist Federal Soviet Republic Regarding Fishing Regulations In The Gulf Of Finland;1922-09-20;#N/D;1922-09-20;1947-02-10;A;B;L;GENG-0216;#N/D;#N/D;FIN-RUS[SFG]_1922A;FIN-RUS;#N/D;#N/D;https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2019/v19.pdf;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;NULL;1;Title, Beg, Signature, url, MainText, AppendixText, AnnexText;Added url, MainText.;1
