GFG.ID,ECOLEX.ID,IEA.ID,Notes,DocType,Type,DocDate,EntryIntoForce,End,Agreement.Title,Lineage,GeogArea,Sequence,Text,Coded.Text,Secretariat,Data,Articles..etc.,UNEP.Info,ApplRange,Latitude,Longitude,Depository,AdoptPlace,Website,Multiple,Arabic,Chinese,English,French,Russian,Spanish,DocLangs,Keywords,Access.Right,Access.to.Information,Allocation,Aquaculture.Mariculture,Area,Artisanal.Fishing,Biological.Diversity,Bycatch,Capacity.Building,Coastal.Zone.Management,Continental.Shelf,Cooperation,Court.Tribunal,Crustaceans,Customary.Rights,Data.1,Development,Diadromous.FIsh,Dispute.Settlement,Ecosystem,EEZ,EIA,Enforcement,Exploration,Foreign,Freshwater.Fishes,Future.Generations,Gear,Harbour,High.Seas,Implementation,Inland.Fisheries,Inspection,Institution,International.Organization,Jurisdiction,Landings,Law.reform,Legal.proceedings,Liability,Licence,Management,Marine.Fisheries,Marine.Mammals,Mesh,Migratory.Species,Molluscs,Monitoring,Navigation,Non.Commercial.Fishing,Non.Governmental.Entity,Offences.Penalties,Permits,Policy.Planning,Pollution,Precautionary.Principle,Processing.Handling,Prohibition,Protection,Public.Participation,Registration,Repopulation,Research,Seasons,Size,Sovereignty,Subsidy,Sustainability,Technology.Transfer,Territorial.Sea,Total.Allowable.Catch,Trade,Transboundary.Effects,Transhipment,Transport,Vessels,Zone,OBLIGATION,PRECISION,DELEGATION
GFG-1015,NA,IEA-4535,,Multilateral,Agreement,2003-04-26,,,Agreement on the Institutionalisation of the Bay of Bengal Programme as an Inter-Governmental Organisation,Bay of Bengal Programme Inter-Governmental Organization,Eastern Indian Ocean,100,1,,Bay of Bengal Programme Inter-Governmental Organization,,,,NA,NA,NA,,Chennai,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFG-1018,TRE-001378,IEA-4201,IEA had date falsely at 2003-11-14,Multilateral,Agreement,2003-06-27,2008-10-10,2020-01-01,Convention For The Strengthening Of The Inter-American Tropical Tuna Commission Established By The 1949 Convention Between The United States Of America And The Republic Of Costa Rica,Inter-American Tropical Tuna,Eastern Pacific,200,1,,Inter-American Tropical Tuna Commission,Data files,Lit,,1,NA,NA,United States of America,Washington D.C.,http://www.iattc.org/,1,0,0,1,1,0,1,English|French|Spanish,data collection/reporting|EIA|fishery management and conservation|institution|research|total allowable catch|sustainable use|precautionary principle|monitoring|marine resources management|marine fisheries|ecosystem preservation|protection of species|education|technology transfer|enforcement/compliance|offences/penalties|dispute settlement|registration|NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.28,0.12,0.42
GFG-1024,NA,IEA-4487,,Multilateral,Amendment,2003-11-27,,,Protocol Amending The Framework Agreement For The Conservation Of The Living Marine Resources Of The High Seas Of The South Pacific,Permanent Commission South Pacific,South Pacific,900,1,,Permanent Commission of the South Pacific,,,,NA,NA,NA,,Lima,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFG-1039,NA,IEA-4488,,Multilateral,Amendment,2004-11-12,,,Amendments To The Convention On Future Multilateral Cooperation In Northeast Atlantic Fisheries (Dispute Settlement),Northeast Atlantic Fisheries,Northeast Atlantic,400.01,1,,Northeast Atlantic Fisheries Commission,Data files,Lit,,NA,NA,NA,,London,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFG-1047,TRE-153515,NA,,Multilateral,Agreement,2006-01-01,2007-07-02,2020-01-01,"Fisheries Partnership Agreement between the European Community on the one hand, and the Government of Denmark and the Home Rule Government of Greenland, on the other hand",,Northeast Atlantic,NA,1,,,,,,1,NA,NA,,,http://europa.eu,0,0,0,1,0,0,0,English,international agreement-text|marine fisheries|fishery management and conservation|foreign fishing|access right|EEZ-Exclusive Economic Zone|fishing licence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.09,0.05
GFG-1058,TRE-144077,IEA-4415,,Multilateral,Agreement,2006-07-07,,2020-01-01,Southern Indian Ocean Fisheries Agreement,Southern Indian Ocean Fisheries,Antarctic Indian Ocean,100,1,,South Indian Ocean Fisheries Agreement,,,,1,NA,NA,FAO Food and Agriculture Organization of the UN,Rome,http://www.fao.org,1,0,0,1,1,0,0,English|French,marine fisheries|fishery management and conservation|marine resources management|migratory species|fishing vessel|transhipment|sustainable use|precautionary principle|biological diversity|protection of species|EIA|monitoring|data collection/reporting|environmental standards|allocation/quota|total allowable catch|research|registration|dispute settlement,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.31,0.15,0.26
GFG-1059,NA,IEA-4489,,Multilateral,Amendment,2006-08-11,,,"Amendments To The Convention On Future Multilateral Cooperation In Northeast Atlantic Fisheries (Amendments to Preamble, Article 1, 2 and 4)",Northeast Atlantic Fisheries,Northeast Atlantic,400.02,1,,Northeast Atlantic Fisheries Commission,Data files,Lit,,NA,NA,NA,,London,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFG-1065,TRE-153519,NA,,Multilateral,Amendment,2007-01-01,,2020-01-01,"Protocol setting out the fishing opportunities and financial contribution provided for in the Fisheries Partnership Agreement between the European Community on the one hand, and the Government of Denmark and the Home Rule Government of Greenland, on the other hand",,Northeast Atlantic,NA,1,,,,,,1,NA,NA,,,http://europa.eu,0,0,0,1,0,0,0,English,international agreement-text|marine fisheries|fishery management and conservation|foreign fishing|access right|fishing licence|total allowable catch|allocation/quota|bycatch|data collection/reporting,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17,0.09,0.05
GFG-1075,NA,IEA-4527,"FRA has ratified this amendment, but it has not yet come into force",Multilateral,Amendment,2007-09-28,,,Amendments To The Convention On Future Multilateral Cooperation In The Northwest Atlantic Fisheries (Replacement of Convention),Northwest Atlantic Fisheries,Northwest Atlantic,200.04,1,,Northwest Atlantic Fisheries Organization,Data files,Lit,,NA,NA,NA,,Bergen,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFG-1076,NA,IEA-4533,,Multilateral,Agreement,2007-11-07,9999-01-01,,Convention for the Establishment of the Fishery Committee for the West Central Gulf of Guinea,Gulf of Guinea Fisheries,Eastern Central Atlantic,200,1,,Fishery Committee for the West Central Gulf of Guinea,Data files,,,NA,NA,NA,,"Cotonou, Benin",,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
