"manyID","treatyID","stateID","Title","Begin","End","Signature","Force","stateSignature","stateRat","stateForce","stateForce2","stateForce3","Term","stateWithdrawal","stateWithdrawal2","gengID","ecolexID","ieaID","Comments","Deposit","obsolete","ProvisionalApp","Reservation","verified","Notes","stateForce_ecolex","stateForce_iea","Consent","Acceptance","Accession","Changes_HUGGO","Verified_HUGGO","Checked_HUGGO","Succession"
"INTRSC_1972A","INTRSC_1972A","DDR","International Convention For Safe Containers","1972-12-02",NA,"1972-12-02","1977-09-06",NA,"1974-09-27","1977-09-06",NA,NA,NA,"1990-10-03",NA,"GENG-1034","TRE-000734",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1974-09-27","stateSignature, stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"INRPCS_1972A","INRPCS_1972A","DDR","Convention On The International Regulations For Preventing Collisions At Sea","1972-10-20",NA,"1972-10-20","1977-07-15",NA,"1975-05-15","1977-07-15",NA,NA,NA,"1990-10-03",NA,"GENG-1026","TRE-000108",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1975-05-15","stateSignature, stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"ENFFEC_1923A","ENFFEC_1923A","FRA","Convention Between England And France Concerning Fishing In The English Channel","1923-10-01","9999-12-31","1923-10-01","1923-10-01","1923-09-29",NA,"1923-10-01",NA,NA,NA,"9999-12-31",NA,"GENG-0224",NA,"IEA-4927","Still in force | http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1",NA,NA,NA,NA,"verified",NA,NA,NA,NA,NA,NA,"stateSignature","stateSignature, stateRat, stateForce, stateWithdrawal",1,NA
"ENFFEC_1923A","ENFFEC_1923A","GBR","Convention Between England And France Concerning Fishing In The English Channel","1923-10-01","9999-12-31","1923-10-01","1923-10-01","1923-09-29",NA,"1923-10-01",NA,NA,NA,"9999-12-31",NA,"GENG-0224",NA,"IEA-4927","Still in force | http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1",NA,NA,NA,NA,"verified",NA,NA,NA,NA,NA,NA,"stateSignature","stateSignature, stateRat, stateForce, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","AUT","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1928-05-09","1928-05-09",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1928-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","BEL","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1928-12-04","1928-12-04",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1928-12-04","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","BGR","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1934-03-07","1934-03-07",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1934-03-07","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","BRA","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1970-08-28","1970-08-28",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1970-08-28","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","CAN","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1930-05-06","1930-05-06",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-05-06","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","CHE","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1932-07-12","1932-07-12",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1932-07-12","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","CHL","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1935-07-02","1935-07-02",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1935-07-02","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","DEU","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1929-04-25","1929-04-25",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-04-25","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","DNK","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1930-05-05","1930-05-05",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-05-05","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
